# CSV-File created with merge-csv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Overview of Digital Forensics and Anti-Forensics Techniques,H. Majed; H. N. Noura; A. Chehab,"Department of Computer Studies, Arab Open University, Beirut, Lebanon; Department of Computer Studies, Arab Open University, Beirut, Lebanon; Electrical and Computer Engineering, American University of Beirut, Beirut, Lebanon",2020 8th International Symposium on Digital Forensics and Security (ISDFS),15-Jun-20,2020,,,1,5,"Digital forensics is very essential in any investigation where data is involved after a security breach. Data contents might be personal, business-related, or strictly confidential. The aim of digital forensics is to legally acquire and analyze the examined data, while Anti-forensics techniques aim to hide, manipulate, and even wipe the data, or to target the credibility of the acquired evidence. This paper presents the current antiforensics techniques, the methods applied, and the available countermeasures.",,978-1-7281-6939-2,10.1109/ISDFS49300.2020.9116399,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9116399,Digital forensics;anti-forensics;forensics techniques,Digital forensics;Security,,19,,13,IEEE,15-Jun-20,1-2 June 2020,1-2 June 2020,IEEE,IEEE Conferences
Validity of Forensic Evidence using Hash Function,P. K.C.; R. Soman; P. Honnavalli,"Department of computer science, PES University, Bangalore; Department of computer science, PES University, Bangalore; Department of computer science, PES University, Bangalore",2020 5th International Conference on Communication and Electronics Systems (ICCES),10-Jul-20,2020,,,823,826,"In any crime scene, the cyber forensics team look out for various evidences. In particular, they seek digital evidences such as surveillance system, hard disk drives, pen drives, and so on. After gathering the necessary evidences, they produce an exact copy of the evidence, called the forensics copy, rather than the original copy. This is done to avoid the destruction of original evidence. During the course of the investigation, the evidences may go through several phases. At any point of time, the investigator must be completely sure that the evidence is the exact same copy of the forensics copy. Hash functions play a very crucial role in this regard. They are used to verify whether the evidence has been subject to some unauthorized manipulation. SHA-1 and SHA-2 has been among the widely used hash functions. But nowadays, SHA-1 is considered weak. Furthermore, although SHA-3 is more secure than its earlier counterparts, it is considered to be slow on general purpose processors and as such, they are not so popular as yet. In this context, this assignment proposes a simple, but effective mechanism to fulfill the needs of cyber forensics using the combined capabilities of hashing functions, along with other cryptography concepts such as SALT.",,978-1-7281-5371-1,10.1109/ICCES48766.2020.9138061,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138061,Hashing;SHA-1;SHA-2;SHA-3;Cyber forensics;SALT;Cryptography,Hash functions;Resistance;Salt;Program processors;Surveillance;Digital forensics;Drives;Hard disks;Real-time systems;Cryptography,,,,12,IEEE,10-Jul-20,10-12 June 2020,10-12 June 2020,IEEE,IEEE Conferences
Analysis of Methods for Hiding Information in PDF Documents and Opportunities for Their Progress,A. V. Sergeev; P. B. Khorev,"Applied Mathematics Department, National Research University “MPEI”, Moscow, Russian Federation; Applied Mathematics Department, National Research University “MPEI”, Moscow, Russian Federation","2020 International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)",09-Apr-20,2020,,,1,4,"Notwithstanding the popularity of multimedia files for steganography purposes, other files, whether binary data files, executables or text based files, can also be used to hide information. The widespread use of PDF files can make its use for this purpose an interesting and practical solution. In the article, an analysis was made of the structures of PDF documents, the use of steganography capabilities and their detection. A study of steganography algorithms from open sources was conducted and based on the analysis, an algorithm for detecting steganography was proposed. For this purpose, an integrated approach was developed.",,978-1-7281-5655-2,10.1109/REEPE49198.2020.9059117,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9059117,steganography;analysis;PDF;data hiding,Portable document format;Arrays;Streaming media;Containers;Terrorism;Dictionaries;Encoding,,2,,17,IEEE,09-Apr-20,12-14 March 2020,12-14 March 2020,IEEE,IEEE Conferences
Review of the algorithms steganography in PDF documents and analysis,A. V. Sergeev; P. B. Khorev,"National Research University ""MPEI""; National Research University ""MPEI""",2020 Moscow Workshop on Electronic and Networking Technologies (MWENT),16-Apr-20,2020,,,1,4,"In this article, we will explore methods of using data hiding in a pdf document. The widespread use of PDF files can make its use for this purpose an interesting and practical solution. We was explore of algorithms of steganography algorithms from open sources and based on the analysis, an algorithm for detecting steganography proposed. We explore the methods to use a hide data in structure of the pdf document format, the basic strategies for hiding data, the statistical characteristics of PDF operators, we analysis the detection of changes after applying the algorithm for hiding data.",,978-1-7281-2572-5,10.1109/MWENT47943.2020.9067465,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9067465,Data transfer;Steganography;Information security,Portable document format;Containers;Conferences;Standards;Mathematical analysis;Tools;Hardware,,1,,22,IEEE,16-Apr-20,11-13 March 2020,11-13 March 2020,IEEE,IEEE Conferences
Digital Image Forgery Detection Using Local Binary Pattern (LBP) and Harlick Transform with classification,M. Sabeena; L. Abraham; A. Varghese,"Department of Electronics and Communication, College of Engineering, Karunagappally, Kerala, India; Department of Electronics and Communication, LBS Institute of Technology for Women, Thiruvananthapuram, Kerala, India; Department of Electronics and Communication, College of Engineering, Karunagappally, Kerala, India",2021 IEEE International Power and Renewable Energy Conference (IPRECON),16-Dec-21,2021,,,1,6,"Images are a natural carrier of information. Images are used in an immense range of applications nowadays, including military purposes, surveillance systems, insurance processing, the internet, television, advertising media, forensic investigation, and so on. However, because powerful, low-cost image editing tools are readily available, these images can be easily tampered with. Therefore, the authenticity of images has become questionable. In this age of advanced PC innovation, digital picture and video have high significance in our everyday life. For editing or modifying the original multimedia contents, a range of low-cost multimedia content handling tools, techniques, and applications with various advanced features are available on the Internet, such as Adobe Photoshop. To handle this issue, numerous investigations have been centered around how to identify, this kind of controlled media. Existing computerized fraud identification techniques are grouped into two significant classes: active and passive. This paper proposes a technique of copy-move forgery detection in which feature extraction is done by Local Binary Patterns (LBP) and Harlick features. For the verification of the authenticity of the image various supervised machine learning classifiers like Support Vector Machine (SVM), Random Forest (RF) & Gradient Boost classifiers are used and the performance of forgery detection is based on these classifiers are analyzed.",,978-1-6654-0137-1,10.1109/IPRECON52453.2021.9640976,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9640976,Copy move forgery;local binary pattern;Harlick transform;SVM;RF;GBC.,Support vector machines;Technological innovation;TV;Digital images;Surveillance;Transforms;Streaming media,,5,,16,IEEE,16-Dec-21,24-26 Sept. 2021,24-26 Sept. 2021,IEEE,IEEE Conferences
An overview on advanced multimedia forensic techniques and future direction,M. Kumari,NA,"Cyber Crime and Forensic Computing: Modern Principles, Practices, and Algorithms",,2021,,,49,70,"Nowadays, with the ever-increasing worldwide connectivity, on the whole, the planet helps the people to share a continuously large amount of text, images, audios, and videos regularly. Due to this globalization connectivity, computer crimes are growing through the Internet these days. The media content lifecycle is becoming complex constantly due to an increase in exchanging, adapting, modifying, accessing, and repetitive use of digital information. Further, due to the easy access and coupling with user-friendly multimedia editing software, this constitutes several challenges related to the trustworthiness and reliability of digital content. For this, forensics techniques for multimedia applications play a significant role to minimize their unchecked and rampant usage. Multimedia forensics techniques are used to find out the evidence or proof through different methods or tools which is an extremely tough and complex task. In the previous years, the field of multimedia forensics has undergone nonstop expansion, drawing increasing attention among researchers. The growing requirement of multimedia’s content authentication techniques without deductive information has led researchers to grow various forensic approaches designed for passive work. Again, these designed forensic approaches face issues such as forgery detection, source identification, and content discrimination. The fact is that in multimedia data the inherent traces left during content creation and successive processing. Thus, in this book chapter, various potential and advanced multimedia (image, audio, and videos) forensic techniques have been presented and discussed. Specifically, the comprehensive wide range of multimedia forensic techniques to identify multimedia distortions have been studied with powerful features useful in multimedia forensic investigations. Besides, the significant solutions to different open challenges and issues in multimedia forensic techniques have been described. Also, the potential application and advanced feasible future directions are discussed.",,9.78311E+12,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10788908.pdf&bkn=10783478&pdfType=chapter,,Forensics;Streaming media;Videos;Taxonomy;Process modeling;Media;History;Authentication;Analytical models;Video sequences,,,,,,16-Jan-25,,,De Gruyter,De Gruyter eBook Chapters
Forensics analysis of FacePlay application to seek digital artifacts on data ownership and privacy,D. M. Trung; L. T. Duan; N. H. Khoa; P. T. Duy; N. T. Cam; V. -H. Pham,"Information Security Lab, University of Information Technology, Ho Chi Minh City, Vietnam; Information Security Lab, University of Information Technology, Ho Chi Minh City, Vietnam; Information Security Lab, University of Information Technology, Ho Chi Minh City, Vietnam; Information Security Lab, University of Information Technology, Ho Chi Minh City, Vietnam; Information Security Lab, University of Information Technology, Ho Chi Minh City, Vietnam; Information Security Lab, University of Information Technology, Ho Chi Minh City, Vietnam",2021 8th NAFOSTED Conference on Information and Computer Science (NICS),08-Feb-22,2021,,,107,112,"Smartphones are indispensable items for more than 95% of young people today. And of course, intelligent applications on phones are also born more to meet the needs. Thanks to its unique ease of use and modern technology, the applications are beautiful to users. Nowadays, the term AI (Artificial Intelligence) is more and more popular and close to Android phone users thanks to the addition of AI to their functions. Big phone brands like Samsung, Huawei, or Google make significant machine learning improvements to their phone cameras. Especially with the application of filming and taking photos that can edit faces and create animations. Therefore, it has attracted countless users, especially selfie enthusiasts who have used their images to post apps to animate their pictures and videos. Android devices are now more popular; as of 2021, there are more than 3 billion active Android devices, three times more than IOS. Besides, there are applications related to editing, creating images, effects for users on Android. The use of personal photos by users for such applications may inadvertently cause the applications to violate privacy. Therefore, it is necessary to carry out forensic investigations of applications to detect access violations and theft of user privacy. This paper performs forensic analysis of the FacePlay app to analyze, evaluate, and warn users about FacePlay privacy issues.",,978-1-6654-1001-4,10.1109/NICS54270.2021.9701463,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9701463,Mobile Forensics;Smartphone Forensics;FacePlay;Steganography;Privacy;Cybersecurity,Privacy;Storms;Social networking (online);Forensics;Soft sensors;Reverse engineering;Servers,,,,22,IEEE,08-Feb-22,21-22 Dec. 2021,21-22 Dec. 2021,IEEE,IEEE Conferences
Developing Trends and Challenges of Digital Forensics,A. Tiwari; V. Mehrotra; S. Goel; K. Naman; S. Maurya; R. Agarwal,"Department of CEA, GLA University, Mathura, India; Department of CEA, GLA University, Mathura, India; Department of CEA, GLA University, Mathura, India; Department of CEA, GLA University, Mathura, India; Department of CEA, GLA University, Mathura, India; Department of CEA, GLA University, Mathura, India",2021 5th International Conference on Information Systems and Computer Networks (ISCON),14-Feb-22,2021,,,1,5,"Digital forensics is concerned with identifying, reporting and responding to security breaches. It is about how to acquire, analyze and report digital evidence and using the technical skills, discovering the traces of Cyber Crime. The field of digital forensics is in high demand due to the constant threats of data breaches and information hacks. Digital Forensics is utilized in the identification and elimination of crimes in any controversy where evidence is preserved in online space. This is the use of specialized techniques for retrieval, authentication and electronic data analysis. Computer forensics deals with the identification, preservation, analysis, documentation and presentation of digital evidence. The paper has analyzed the present-day trends that includes IoT forensics, cloud forensics, network forensics and social media forensics. Recent researches have shown a wide range of threats and cyber-attacks, which requires forensic investigators and forensics scientists to simplify the digital world. Hence, all our research gives a clear view of digital forensics which could be of a great help in forensic investigation. In this research paper we have discussed about the need and way to preserve the digital evidence, so that it is not compromised at any point in time and an unalter evidence can be presented before the court of law.",,978-1-6654-0341-2,10.1109/ISCON52037.2021.9702301,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702301,Digital forensics;Cyber Crime;Digital Evidence;Social media forensics;IoT forensics;Cloud forensics;network forensics,Cloud computing;Data privacy;Social networking (online);Digital forensics;Documentation;Media;Market research,,13,,14,IEEE,14-Feb-22,22-23 Oct. 2021,22-23 Oct. 2021,IEEE,IEEE Conferences
General Countermeasures of Anti-Forensics Categories,M. R. Al-Mousa; N. A. Sweerky; G. Samara; M. Alghanim; A. S. I. Hussein; B. Qadoumi,"Department of Internet Technology, Zarqa University, Zarqa, Jordan; Computer Science Department, Zarqa University, Zarqa, Jordan; Computer Science Department, Zarqa University, Zarqa, Jordan; Department of Internet Technology, Zarqa University, Zarqa, Jordan; Computer Science Department, Zarqa University, Zarqa, Jordan; Computer Information System Department, Zarqa University, Zarqa, Jordan",2021 Global Congress on Electrical Engineering (GC-ElecEng),07-Jun-22,2021,,,5,10,"Digital forensics methods and techniques have turned into a significant element in the investigation of digital crimes and gathering evidence about these crimes. The investigators of digital forensics regularly obey standard ways and use recognized methods and techniques throughout investigating. On the other hand, cybercriminals recognize which methods and tools are utilized in an examination and the way that digital forensic tools work. Therefore, they began to discover and perform another techniques assigned to anti-forensics. It foils the forensics process and tools by destroying, hiding, or modifying digital evidence and increases the difficulty of detecting the effects of cybercrimes. This paper tries to reach a standard approach for defining the term of anti-forensics, classifying the anti-forensics tools, and finally, determining general countermeasures to preserve forensics integrity.",,978-1-6654-2038-9,10.1109/GC-ElecEng52322.2021.9788230,Zarqa University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9788230,digital forensics;Anti-forensics;digital evidence;artefact wiping;hiding;trail obfuscation;countermeasures,Training;Electrical engineering;Planets;Digital forensics;Reliability engineering;Software;Software reliability,,5,,28,IEEE,07-Jun-22,10-12 Dec. 2021,10-12 Dec. 2021,IEEE,IEEE Conferences
Digital image forensics using EXIF data of digital evidence,M. Ölvecký; M. Host’ovecký,"Department of Applied Informatics, University of SS. Cyril and Methodius, Trnava, Slovak Republic; Department of Applied Informatics, University of SS. Cyril and Methodius, Trnava, Slovak Republic",2021 19th International Conference on Emerging eLearning Technologies and Applications (ICETA),09-Mar-22,2021,,,282,286,"Pie Information Extractor is one of the applications to data mining from digital photos. The global position system (GPS) with suitable connection with digital technologies enables to put additional layer to data. Exif (Exchangeable image file) information of photographs contains various information, such as date and time the picture was taken, type of camera used, types of settings on the camera, GPS Coordinates where the picture was taken, etc. Today not only digital cameras but also various devices with camera technology could put geotagged layers to photos. This information could be linked with location, camera model name, revised software, created date. Cyberattacks used not only the image layer but EXIF data are very useful. For example, the time and date of geotagged information are potentially useful for thieves and also criminologists on the other side. More and more photos are often shared on social media without any caution about private information. This paper presents another approach of image visual recognition in the interconnection with geotagged information.",,978-1-6654-2102-7,10.1109/ICETA54173.2021.9726649,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9726649,,Visualization;Image forensics;Image recognition;Image analysis;Social networking (online);Software;Data mining,,2,,19,IEEE,09-Mar-22,11-12 Nov. 2021,11-12 Nov. 2021,IEEE,IEEE Conferences
Overview on Hiding Data in Microsoft Office Documents,A. V. Sergeev; P. B. Khorev,"National Research University “MPEI”,Applied Mathematics Department,Moscow,Russian Federation; National Research University “MPEI”,Applied Mathematics Department,Moscow,Russian Federation","2021 3rd International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)",01-Apr-21,2021,,,1,4,"Steganography is the science of hiding information in various types of data. Some of the most popular formats for Microsoft Office electronic documents are docx, xlsx, and pptx. The paper analyzes the structure of documents according to the OOXML standard. Algorithms for embedding data in electronic documents such as docx, xlsx and pptx, using the functionality of Microsoft office, as well as corresponding to a zip archive, are considered. There are six types of data attachments: zip comments, restricted zip fields, file embedding, additional Xml fields, hidden text, and tracking text. The stability of the data algorithm and the main advantages and disadvantages are assessed.",,978-1-7281-8398-5,10.1109/REEPE51337.2021.9388038,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9388038,steganography;analysis;OOXML;data hiding,Power engineering;Stability criteria;XML;Aerospace electronics;Standards,,1,,8,IEEE,01-Apr-21,11-13 March 2021,11-13 March 2021,IEEE,IEEE Conferences
Image Forgery Detection Model using CNN Architecture with SVM Classifier,S. Singh; V. K. Sehgal,"Department of Computer Science and Engineering and Infotmation Technology, Jaypee University of Information Technology, Solan, Himachal Pradesh, India; Department of Computer Science and Engineering and Infotmation Technology, Jaypee University of Information Technology, Solan, Himachal Pradesh, India","2022 Seventh International Conference on Parallel, Distributed and Grid Computing (PDGC)",01-Mar-23,2022,,,263,268,"This Due to rapid advancement in computer vision system and easy availability of digital camera’s acquisition of images and sharing the content on social media platform with falsify content is challenging task to the researcher community. For the legal purpose to provide the evidence in court, it’s a difficult task identify the forgery in image that why various traditional artefacts of capturing device and internal footprints of image used to check the forgery in original image. Now a day’s easy availability of software editing tools the captured image modify with wrong content to defame the person or misleading the people on social media with fake content. In this article, proposed a CNN based architecture to classify the forgery in given image. CNN architecture is capable to detect the unseen forgeries based on features extracted through various convolution layers and used SVM classifier to classify the label of forged image with high accuracy.",2573-3079,978-1-6654-5401-8,10.1109/PDGC56933.2022.10053298,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053298,Digital Forensic;Image Forgery Detection;Convolution Neural Network;SVM Classifier,Support vector machines;Social networking (online);Computer architecture;Feature extraction;Forgery;Software;Reflection,,2,,23,IEEE,01-Mar-23,25-27 Nov. 2022,25-27 Nov. 2022,IEEE,IEEE Conferences
Review on Deep Learning Based Image Forgery Detection and Localization,P. Dhiman; U. Chauhan,"Department of Electrical, Electronics and Communication Engineering, Galgotias University, Greater Noida, India; Department of Electrical, Electronics and Communication Engineering, Galgotias University, Greater Noida, India","2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",28-Mar-23,2022,,,1064,1073,"In the last few decades, the chances of forgery in an image have been increased with the advancement in digital camera having high resolution and with the availability of several image processing software’s. These manipulations sometime are so pioneering that it is very difficult to detect forgery in the image. The proficiency to identify image forgery is present day research scenario. Therefore, the main emphasis of this research is to study numerous types of detection techniques for forgery for digital images using Deep Learning. The results may be compared to improve or generate a new approach for a future Machine Learning based forensic science investigation. The aim of the study is to learn about the work done in the detection of these forgeries using deep learning technique. This study also reviews the challenges faced by existing techniques and focuses on proposing few techniques which can be applied in future.",,978-1-6654-7436-8,10.1109/ICAC3N56670.2022.10074342,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074342,Digital image forgery;Passive methods of detection;Machine Learning;Deep Learning,Deep learning;Location awareness;Image resolution;Digital images;Forensics;Forgery;Digital cameras,,3,,20,IEEE,28-Mar-23,16-17 Dec. 2022,16-17 Dec. 2022,IEEE,IEEE Conferences
ML based Implementation for Documents Forensic and Prediction of Forgery using Computer Vision Framework,S. Pratapagiri; S. Madugula; S. Kiran; V. C. S. Rao; S. Venkatramulu; M. S. B. Phridviraj,"Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Jyothishmathi Institute of technology and Science, Karimnagar, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India",2022 Second International Conference on Artificial Intelligence and Smart Energy (ICAIS),30-Mar-22,2022,,,280,283,"Facial Recognition, Biometric Verification, Internet of Things (IoT), Criminal Investigation, Signature Identification in banking are just a few of the fields benefiting from breakthroughs in Computer Vision and Optical Image Processing right now. These applications prepare for dealing with numerous applications for breaking down and determining through the use of images and live video. There are several workouts that make use of computer vision, including checking, face recognition, movement recognition, and object placement. Due to advances in long-distance informal communication stages such as Facebook and Instagram, the amount of picture data being generated has increased. Image and video manipulation software usage poses a huge risk to Facebook because of the manipulated images that users submit to their social network. These sorts of pictures are habitually referred to as phony and utilized in noxious ways like rousing viciousness and passing. Need to confirm the sketchy pictures before make a move. It is extremely difficult to guarantee photograph validness because of the force of photograph controls. Picture arrangement can be dictated by picture measurable strategies. The strategy of picture duplication is utilized to hide missing regions.",,978-1-6654-0052-7,10.1109/ICAIS53314.2022.9742860,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9742860,IoT;Prediction of Forgery;Computer Vision Framework;Digital Images and documents forensic,Computer vision;Social networking (online);Forensics;Face recognition;Digital images;Plagiarism;Watermarking,,1,,20,IEEE,30-Mar-22,23-25 Feb. 2022,23-25 Feb. 2022,IEEE,IEEE Conferences
SET: a squeeze-and-excitation transformer for offline signature verification,J. -X. Ren; J. Chen; Y. -J. Xiong,"School of Electronic and Electrical Engineering, Shanghai University of Engineering Science Shanghai, China; School of Electronic and Electrical Engineering, Shanghai University of Engineering Science Shanghai, China; School of Electronic and Electrical Engineering, Shanghai University of Engineering Science Shanghai, China","2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)",27-Jul-23,2022,,,1812,1816,"Offline handwritten signature verification, which is widely used in finance, commerce, and criminal forensic identification, plays an essential role in the fields of biometrics and document forensics. The development in deep learning has led to significant advances in signature verification over the past decade. However, it is still challenging to distinguish between skilled forgeries and genuine signatures because both are close similarities with only subtle differences in strokes. With this paper, we develop a novel squeeze-and-excitation transformer structure (named SET) for feature extraction and signature verification. SET comprises four stages and receives a two-channel signature pair consisting of reference and query signatures as input. The SET block is the core of each stage, which is utilized to enhance the feature learning ability and strengthen the association between feature channels. We evaluate the proposed SET on several public datasets (CEDAR, BHSig-B, and BHSig-H). Experimental results demonstrate that our approach outperforms existing methods.",,979-8-3503-4655-8,10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00263,National Natural Science Foundation of China; Science and Technology Commission of Shanghai Municipality; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10189467,transformer;offline signature verification;signature pair;squeeze-and-excitation,Representation learning;Deep learning;Handwriting recognition;Biometrics (access control);Forensics;Finance;Transformer cores,,,,27,IEEE,27-Jul-23,15-18 Dec. 2022,15-18 Dec. 2022,IEEE,IEEE Conferences
Digital Forensic Readiness Information System For EJBCA Digital Signature Web Server,I. F. Rasyid; L. M. Zagi; Suhardi,"School of Electrical and Informatics Engineering, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical and Informatics Engineering, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical and Informatics Engineering, Institut Teknologi Bandung, Bandung, Indonesia",2022 International Conference on Information Technology Systems and Innovation (ICITSI),14-Dec-22,2022,,,177,182,"As the nature of the website, the EJBCA digital signatures may have vulnerabilities. The list of web-based vulnerabilities can be found in OWASP's Top 10 2021. Anticipating the attack with an effective and efficient forensics application is necessary. The concept of digital forensic readiness can be applied as a pre-incident plan with a digital forensic lifecycle pipeline to establish an efficient forensic process. Managing digital evidence in the pre-incident plan includes data collection, examination, analysis, and findings report. Based on this concept, we implemented it in designing an information system that carries out the entire flow, provides attack evidence collection, visualization of attack statistics in executive summary, mitigation recommendation, and forensic report generation in a physical form when needed. This research offers an information system that can help the digital forensic process and maintain the integrity of the EJBCA digital signature server web.",,978-1-6654-6555-7,10.1109/ICITSI56531.2022.9971126,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9971126,Digital forensic readiness;engineering design process;digital forensics investigation lifecycle,Visualization;Technological innovation;Databases;Digital forensics;Pipelines;Data visualization;Data collection,,,,11,IEEE,14-Dec-22,8-9 Nov. 2022,8-9 Nov. 2022,IEEE,IEEE Conferences
Document Image Forgery Detection Based on Deep Learning Models,P. Yang; W. Fang; F. Zhang; L. Bai; Y. Gao,"Beijing University of Posts and Telecommunications, Information Science Academy of China Electronics Technology Group Corporation, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Information Science Academy of China Electronics Technology Group Corporation, Beijing, China; Information Science Academy of China Electronics Technology Group Corporation, Beijing, China; Information Science Academy of China Electronics Technology Group Corporation, Beijing, China","2022 International Symposium on Electrical, Electronics and Information Engineering (ISEEIE)",18-Aug-22,2022,,,36,41,"With the improvement of the communication speed and the popularization of the Internet, images have become the most common information medium in life. At the same time, the adverse effects of forged images in the media, credit investigation, finance and academic fields are becoming more and more significant. Therefore, in recent years, the research on forged image identification algorithms has been active worldwide. Image forgery has different classification methods. According to whether the forgery uses deep learning methods, it can be divided into deep forged images and traditional forged images. It can also be divided into ordinary image forged and document image forged according to whether the image is a text image. Different forgery methods will leave different forgery traces in the image, corresponding to different forgery identification methods. Aiming at document forgery images, this paper proposes a forgery detection algorithm based on deep learning and fusion of error level analysis (ELA) information. Compared with the previous forgery identification algorithms, the algorithm in this paper can not only identify whether the document image is forged, but can also locate the forged text area. The algorithm proposed in this paper supports the detection of document image forgery generated by cutting, copying, erasing and deep learning methods. The detection algorithm of this paper participated in the fifth forgery detection competition of Ali Tianchi and won the 32nd place among 1470 participating teams.",,978-1-6654-6874-9,10.1109/ISEEIE55684.2022.00014,"National Natural Science Foundation of China(grant numbers:61801448,U20B2063); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9853295,Document Image Forgery Identification;Deep Learning;ELA Image Processing,Deep learning;Analytical models;Visualization;Finance;Media;Feature extraction;Forgery,,4,,31,IEEE,18-Aug-22,25-27 Feb. 2022,25-27 Feb. 2022,IEEE,IEEE Conferences
Securing Web User Privacy with Steganalysis of Images using Deep Learning,K. Anuratha; J. M. Nandhini; D. Madhavan; A. Harini; P. Arulmani,"Department of Information Technology, Sri Sairam Institute of Technology, Chennai, India; Department of Information Technology, Sri Sairam Institute of Technology, Chennai, India; Department of Information Technology, Sri Sairam Institute of Technology, Chennai, India; Department of Information Technology, Sri Sairam Institute of Technology, Chennai, India; Department of Information Technology, Sri Sairam Institute of Technology, Chennai, India",2022 7th International Conference on Communication and Electronics Systems (ICCES),29-Jul-22,2022,,,1215,1220,"Nowadays, images are extensively used in all aspects of community because of their ease of understandability, like cyber forensics and research-based exploration. Tampering digital images in special fields maliciously, may change the information contained therein, form false information, and result in damage to society. Data security is very important when sensitive data is transmitted over the internet. Whenever a website is opened, there are a lot of advertisements displayed on the page. Although they don’t intrude on our browsing experience, some images may hide vicious data inside them by using steganography. Hackers have become proficient in embedding their harmful code inside images. As soon as the user clicks on the image, the hidden code starts to affect the host machine by running in the background without the knowledge of the user. Henceforth, this research work proposes a system by using Deep Learning (DL) to detect steganography (Blind Steganalysis). Convolutional Neural Networks (CNN) is used in our system to prognosticate the presence of steganography by providing an extension in the web browser. By testing our model, it’s inferred that the accuracy in finding hidden content in images shows good results. The proposed model has achieved an accuracy of 89 percentage.",,978-1-6654-9634-6,10.1109/ICCES54183.2022.9836021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9836021,Steganography;Steganalysis;Blind Steganalysis;Deep Learning;Convolutional Neural Networks,Deep learning;Steganography;Data privacy;Codes;Neural networks;Data models;Convolutional neural networks,,,,18,IEEE,29-Jul-22,22-24 June 2022,22-24 June 2022,IEEE,IEEE Conferences
